# 套利信号 Top 15
排名,市场名称,出现次数,最高利润%,链接

# 大额交易 Top 15
排名,市场名称,交易次数,链接

# 订单簿失衡 Top 15
排名,市场名称,失衡次数,链接

# 聪明钱 Top 15
排名,市场名称,信号次数,链接

# 新市场 Top 15
排名,市场名称,出现次数,链接

# 综合热门市场 Top 15
排名,市场名称,套利,大额,订单簿,聪明钱,总计,链接

# 活跃时段分布 (UTC)
小时,信号数量,占比%
00:00,0,0
01:00,0,0
02:00,0,0
03:00,0,0
04:00,0,0
05:00,0,0
06:00,0,0
07:00,0,0
08:00,0,0
09:00,0,0
10:00,0,0
11:00,0,0
12:00,0,0
13:00,0,0
14:00,0,0
15:00,0,0
16:00,0,0
17:00,0,0
18:00,0,0
19:00,0,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0

# 时段-类型分布 (UTC)
小时,套利,大额交易,订单簿,聪明钱
00:00,0,0,0,0
01:00,0,0,0,0
02:00,0,0,0,0
03:00,0,0,0,0
04:00,0,0,0,0
05:00,0,0,0,0
06:00,0,0,0,0
07:00,0,0,0,0
08:00,0,0,0,0
09:00,0,0,0,0
10:00,0,0,0,0
11:00,0,0,0,0
12:00,0,0,0,0
13:00,0,0,0,0
14:00,0,0,0,0
15:00,0,0,0,0
16:00,0,0,0,0
17:00,0,0,0,0
18:00,0,0,0,0
19:00,0,0,0,0
20:00,0,0,0,0
21:00,0,0,0,0
22:00,0,0,0,0
23:00,0,0,0,0

# 买卖比例
类型,数量,占比%

# 聪明钱操作类型
类型,数量,占比%

# 套利利润分布
利润区间,数量,占比%

# 市场类别分布
类别,信号数量,占比%
体育,0,0
加密货币,0,0
政治,0,0
娱乐,0,0
金融,0,0
其他,0,0

# 高频套利市场 (10次以上)
排名,市场名称,出现次数,最高利润%,链接

# 聪明钱偏好类别
类别,信号数量,占比%
体育,0,0
加密货币,0,0
政治,0,0
娱乐,0,0
金融,0,0
其他,0,0

# 信号频率趋势 (环比)
小时,信号数,环比变化%
00:00,0,N/A
01:00,0,N/A
02:00,0,N/A
03:00,0,N/A
04:00,0,N/A
05:00,0,N/A
06:00,0,N/A
07:00,0,N/A
08:00,0,N/A
09:00,0,N/A
10:00,0,N/A
11:00,0,N/A
12:00,0,N/A
13:00,0,N/A
14:00,0,N/A
15:00,0,N/A
16:00,0,N/A
17:00,0,N/A
18:00,0,N/A
19:00,0,N/A
20:00,0,N/A
21:00,0,N/A
22:00,0,N/A
23:00,0,N/A

# 市场重复出现率 (跨信号类型)
信号类型数,市场数量,占比%
1种,0,0
2种,0,0
3种,0,0
4种,0,0

# 信号密集时段 (5分钟内20+信号)
时间,信号数量

